Name,latitude,longitude,family,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,21B Exponence of Tense-Aspect-Mood Inflection,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,25B Zero Marking of A and P Arguments,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,34A Occurrence of Nominal Plurality,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,51A Position of Case Affixes,52A Comitatives and Instrumentals,54A Distributive Numerals,55A Numeral Classifiers,58A Obligatory Possessive Inflection,59A Possessive Classification,61A Adjectives without Nouns,63A Noun Phrase Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,72A Imperative-Hortative Systems,73A The Optative,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,79A Suppletion According to Tense and Aspect,NumBlanks
Karok,41.66666667,-123,Karok,1 Exclusively concatenative,5 No case,1 monoexponential TAM,5 8-9 categories per word,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,1 None,,3 No inclusive/exclusive,3 No inclusive/exclusive,,,6 No gender distinctions,1 No politeness distinction,2 Differentiated,2 No person marking,6 Postpositional clitics,2 Differentiation,,1 Absent,1 Exists,1 No possessive classification,,,2 No grammatical marking,4 No past tense,1 Inflectional future exists,3 Other perfect,2 Tense-aspect suffixes,1 Second singular and second plural,1 Maximal system,2 Inflectional optative absent,,2 Indirect only,,8
Karelian,64,32,Uralic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Karaim,54.66666667,24.91666667,Altaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Inflectional optative present,,,,39
Korana,-29.5,20.5,Khoe-Kwadi,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,5 No tense-aspect inflection,5 No second-person imperatives,1 Maximal system,2 Inflectional optative absent,,,,35
Krongo,10.5,30,Kadu,1 Exclusively concatenative,5 No case,1 monoexponential TAM,3 4-5 categories per word,4 No marking,2 Dependent marking,5 Inconsistent or other,2 Non-zero marking,3 No productive reduplication,3 Core and non-core,3 Not syncretic,,"6 All nouns, always obligatory",5 Inclusive/exclusive,5 Inclusive/exclusive,3 Three-way contrast,1 Identical,3 3rd person singular only,1 No politeness distinction,,2 No person marking,2 Case prefixes,2 Differentiation,,,2 Absent,2 Two classes,,,1 Grammatical marking,4 No past tense,2 No inflectional future,3 Other perfect,4 Mixed type,1 Second singular and second plural,1 Maximal system,2 Inflectional optative absent,,1 No grammatical evidentials,4 None,7
Kerek,62.25,175,Chukotko-Kamchatkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,1 Maximal system,,,,,38
Kairiru,-3.333333333,143.5833333,Austronesian,,,,,,,,,,,,,,,,3 Three-way contrast,1 Identical,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,5 No tense-aspect inflection,,,,,,,36
Karata,42.58333333,46.33333333,Nakh-Daghestanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Second person number-neutral,4 Neither type of system,,,,,38
Korowai,-5.25,140,Trans-New Guinea,,,,,,,,,1 Productive full and partial reduplication,,,,"3 Only human nouns, obligatory",,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,36
Koryak,61,167,Chukotko-Kamchatkan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,2 Differentiation,,,,,,,,,,,4 Mixed type,,,2 Inflectional optative absent,,,,36
Kryz,41.08333333,48,Nakh-Daghestanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Keresan (Santa Ana),35.41666667,-106.6666667,Keresan,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Koyraboro Senni,16,0,Songhay,,,,,,,,,,1 No case marking,1 No subject person/number marking,1 None,,3 No inclusive/exclusive,1 No person marking,1 No distance contrast,1 Identical,6 No gender distinctions,1 No politeness distinction,2 Differentiated,2 No person marking,9 No case affixes or adpositional clitics,,,,,,,,1 Grammatical marking,4 No past tense,2 No inflectional future,4 No perfect,5 No tense-aspect inflection,1 Second singular and second plural,3 Both types of system,2 Inflectional optative absent,2 Overlap for either possibility or necessity,1 No grammatical evidentials,4 None,17
Karen (Sgaw),18,97,Sino-Tibetan,,,,2 2-3 categories per word,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,5 No tense-aspect inflection,,,,,,,37
Kashaya,38.66666667,-123.3333333,Hokan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Direct and indirect,,39
Ksingmul,21.08333333,104,Austro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kenyan Sign Language,0,38,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kasem,11.25,-1.25,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Neither type of system,,,,,39
Kasong,12.75,102.1166667,Austro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kosop,9.916666667,15.91666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kisar,-8.083333333,127.1166667,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kisi (Southern),8.5,-10.25,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kashubian,54,18,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Koita,-9.333333333,147.0833333,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Kituba,-5,17.5,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Katcha,10.83333333,29.66666667,Kadu,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,38
Kete,-7,22.83333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,1 Maximal system,2 Inflectional optative absent,,,,37
Kutchin,67,-146,Na-Dene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
"Kati (in West Papua, Indonesia)",-5.75,140.9166667,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Kotoko,11.33333333,15.33333333,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Katla,11.83333333,29.33333333,Kordofanian,,,,,,,,,,,,,,,,,,6 No gender distinctions,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,37
Ketengban,-4.5,140.5,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kato,39.66666667,-123.6666667,Na-Dene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Direct and indirect,,39
Ketapang,-1.866666667,110,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,3 Obligatory,,,,,,,,,,,,,,,,39
Kott,57,94,Yeniseian,,,,,,,,,,,,,,,,,,,,2 Differentiated,,,2 Differentiation,,,,,,,,,,,,,,,,,,38
Katu,15.83333333,107.5833333,Austro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Khanty,65,65,Uralic,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,1 Identity,4 Marked by suffix,,,,,1 'And' different from 'with',,,,,2 Tense-aspect suffixes,1 Second singular and second plural,,2 Inflectional optative absent,3 No overlap,,,32
Kati (in Afghanistan),35.5,70,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Inflectional optative absent,,,,39
Kualan,-0.416666667,110.4166667,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,3 Obligatory,,,,,,,,,,,,,,,,39
Kunming,25,102.75,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kui (in India),20,83.5,Dravidian,,,,,,,,2 Non-zero marking,,,,,,,,,,,,,,,,,,,,,,2 No grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,3 Other perfect,,1 Second singular and second plural,1 Maximal system,,2 Overlap for either possibility or necessity,,,32
Kukú,5.833333333,31.66666667,Eastern Sudanic,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,6 No gender distinctions,,,2 No person marking,,,,,,,,,,,,,,,,,,,,37
Kullo,6.75,37.08333333,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kumauni,30,80,Indo-European,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Kuna,8,-77.33333333,Chibchan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kuot,-3.05,151.5,Kuot,,,,,,,,,1 Productive full and partial reduplication,,,,"6 All nouns, always obligatory",,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,4 Mixed type,,,,,,1 Tense,35
Kumyk,43,47.33333333,Altaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Inflectional optative present,,,,39
Kurukh,22.83333333,85.5,Dravidian,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,2 Marked by reduplication,,,,,,,,,,,,,,,,,38
Kusunda,28,84.66666667,Kusunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Kutenai,49.5,-116,Kutenai,1 Exclusively concatenative,3 Case + referentiality,1 monoexponential TAM,3 4-5 categories per word,3 Double marking,1 Head marking,5 Inconsistent or other,2 Non-zero marking,3 No productive reduplication,1 No case marking,3 Not syncretic,1 None,"3 Only human nouns, obligatory",3 No inclusive/exclusive,2 'We' the same as 'I',3 Three-way contrast,1 Identical,6 No gender distinctions,1 No politeness distinction,2 Differentiated,1 No adpositions,9 No case affixes or adpositional clitics,,1 No distributive numerals,1 Absent,1 Exists,1 No possessive classification,2 Without marking,,2 No grammatical marking,4 No past tense,1 Inflectional future exists,4 No perfect,5 No tense-aspect inflection,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,3 No overlap,1 No grammatical evidentials,4 None,2
Kuuku Ya'u,-12.58333333,143.0833333,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Kuvi,18.75,82.66666667,Dravidian,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,,,,,36
Kutai,-0.333333333,116.6666667,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,2 Marked by reduplication,,,,,,,,,,,,,,,,,39
Kulamanen,7.75,125,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kwaio,-8.95,161,Austronesian,,,,,,,,,,,,,"4 All nouns, always optional",,,2 Two-way contrast,,,,,,,,,,,,,1 'And' different from 'with',,,,,,5 No second-person imperatives,2 Minimal system,2 Inflectional optative absent,,,,34
Kwerba,-2.25,138.5,Kwerba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kanjobal (Western),15.83333333,-91.83333333,Mayan,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,,,,,,,1 Second singular and second plural,,,,,,38
Kwakw'ala,51,-127,Wakashan,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,2 Marked by reduplication,,,,,2 'And' identical to 'with',,,,,2 Tense-aspect suffixes,,,,,2 Indirect only,,35
Kwami,10.41666667,11,Afro-Asiatic,,,,,,,,,,,,,,,,2 Two-way contrast,1 Identical,,,,,,2 Differentiation,,,,,,,,,,,,,,,,,,37
Kwangali,-18,19.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,39
Kwoma,-4.166666667,142.75,Sepik,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Kwamera,-19.58333333,169.4166667,Austronesian,,,,,,,,,,,,,,,,,,,,,,,1 Identity,,,,,,,,,,,,1 Second singular and second plural,,,,,,38
Kawaiisu,36,-117.5,Uto-Aztecan,,,,,,,,,,,,,,,,,,"2 3rd person only, but also non-singular",,,4 Pronouns and nouns,1 Case suffixes,,,,,,,,,,,,,1 Second singular and second plural,,,,2 Indirect only,,35
Kwomtari,-3.5,141.5,Kwomtari-Baibai,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Iwoyo,-5.5,12.25,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Mixed type,,,,,,,39
Kwaza,-12.58333333,-60.66666667,Kwaza,,,,,,,,,,,,,,,,,,6 No gender distinctions,,,1 No adpositions,1 Case suffixes,,,3 Obligatory,,,4 Marked by suffix,,,,,,2 Tense-aspect suffixes,,,,,,,34
Kxoe,-17.5,22.5,Khoe-Kwadi,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,,,,,,,,,,,,,39
Kuku-Yalanji,-16,145,Pama-Nyungan,,,,,,,,,1 Productive full and partial reduplication,,,,"4 All nouns, always optional",,,,,,,,,1 Case suffixes,,,,,,,,2 No grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,4 No perfect,2 Tense-aspect suffixes,,,,,,,32
Kenyang,5.666666667,9.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,,,,,,39
Kyaka,-5.55,144.0833333,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Kayah Li (Eastern),19,97.5,Sino-Tibetan,,,,,,,,,,1 No case marking,1 No subject person/number marking,,,3 No inclusive/exclusive,1 No person marking,2 Two-way contrast,,6 No gender distinctions,1 No politeness distinction,,2 No person marking,9 No case affixes or adpositional clitics,,,3 Obligatory,,,7 Marked by mixed or other strategies,,,,,,5 No tense-aspect inflection,5 No second-person imperatives,1 Maximal system,2 Inflectional optative absent,,3 Direct and indirect,,24
Krymchak,45,34.25,Altaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Koyukon,65,-155,Na-Dene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kanyok,-7.333333333,23.58333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,2 Marked by reduplication,,,,,,,,,,,,,,,,,39
Kayapó,-9,-52,Macro-Ge,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,,,,,,,,39
Kyuquot,50.16666667,-127.1666667,Wakashan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Karkar-Yuri,-3.75,141.0833333,Karkar-Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kaytej,-21,134,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Kayabí,-11,-55.5,Tupian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Kam (Zhanglu),26,108.5,Tai-Kadai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Komi-Zyrian,65,55,Uralic,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,3 Mixed,,1 Absent,2 Absent,1 No possessive classification,,,,,,,,,,,,3 Direct and indirect,,34
Laal,10,17.66666667,Laal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Mixed type,,,,,,,39
Labu,-6.75,146.9166667,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Lacandón,17,-91.5,Mayan,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Ladakhi,34,78,Sino-Tibetan,,,,,,,,,,4 No syncretism,1 No subject person/number marking,1 None,,5 Inclusive/exclusive,1 No person marking,,,6 No gender distinctions,,,2 No person marking,1 Case suffixes,2 Differentiation,,,,,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,1 Inflectional optative present,3 No overlap,3 Direct and indirect,4 None,24
Lafofa,10.25,31.25,Kordofanian,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,,,,,,,,39
Lagwan,11.5,14.83333333,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,39
Lahu,20,98.16666667,Sino-Tibetan,2 Exclusively isolating,1 Monoexponential case,1 monoexponential TAM,,,,,,,,,1 None,,,,,,6 No gender distinctions,,,2 No person marking,9 No case affixes or adpositional clitics,2 Differentiation,,3 Obligatory,,,,1 'And' different from 'with',2 No grammatical marking,4 No past tense,2 No inflectional future,3 Other perfect,,,,2 Inflectional optative absent,,2 Indirect only,,24
Lai,22.66666667,93.66666667,Sino-Tibetan,2 Exclusively isolating,1 Monoexponential case,1 monoexponential TAM,5 8-9 categories per word,3 Double marking,4 No marking,5 Inconsistent or other,2 Non-zero marking,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,3 Obligatory,,,7 Marked by mixed or other strategies,,2 No grammatical marking,4 No past tense,2 No inflectional future,3 Other perfect,5 No tense-aspect inflection,,,,,,,24
Lak,42.16666667,47.16666667,Nakh-Daghestanian,,,,,,,,,,2 Core cases only,2 Syncretic,4 Four,"6 All nouns, always obligatory",3 No inclusive/exclusive,3 No inclusive/exclusive,,,6 No gender distinctions,,,2 No person marking,1 Case suffixes,2 Differentiation,2 Marked by reduplication,,,,,,,,,,,1 Second singular and second plural,1 Maximal system,,2 Overlap for either possibility or necessity,1 No grammatical evidentials,,25
Lalo,25,100.25,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,5 No tense-aspect inflection,,,,,,,38
Lamé,9,14.5,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Lango,2.166666667,33,Eastern Sudanic,3 Exclusively tonal,5 No case,4 TAM+agreement+construct,4 6-7 categories per word,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,3 No productive reduplication,1 No case marking,2 Syncretic,1 None,"3 Only human nouns, obligatory",3 No inclusive/exclusive,3 No inclusive/exclusive,3 Three-way contrast,2 Different stem,6 No gender distinctions,1 No politeness distinction,1 Identical,3 Pronouns only,9 No case affixes or adpositional clitics,3 Mixed,,1 Absent,2 Absent,2 Two classes,5 Marked by preceding word,,1 Grammatical marking,4 No past tense,2 No inflectional future,4 No perfect,3 Tense-aspect tone,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,2 Overlap for either possibility or necessity,1 No grammatical evidentials,4 None,2
Lao,18,103,Tai-Kadai,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,2 No grammatical marking,4 No past tense,2 No inflectional future,"2 From 'finish', 'already'",5 No tense-aspect inflection,,,,,,,34
Laragia,-12.66666667,130.8333333,Darwin Region,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,4 Mixed type,,,,,,,38
Latvian,57,24,Indo-European,,,,,,,,,,3 Core and non-core,2 Syncretic,2 Two,"6 All nouns, always obligatory",3 No inclusive/exclusive,3 No inclusive/exclusive,2 Two-way contrast,1 Identical,"2 3rd person only, but also non-singular",2 Binary politeness distinction,2 Differentiated,2 No person marking,1 Case suffixes,1 Identity,5 Marked by preceding word,1 Absent,,,,1 'And' different from 'with',2 No grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,3 Other perfect,4 Mixed type,3 Second plural,4 Neither type of system,2 Inflectional optative absent,1 Overlap for both possibility and necessity,2 Indirect only,1 Tense,12
Lau,-9.583333333,161.5,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Lavukaleve,-9.083333333,159.2,Solomons East Papuan,1 Exclusively concatenative,5 No case,1 monoexponential TAM,3 4-5 categories per word,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,3 Three,"6 All nouns, always obligatory",5 Inclusive/exclusive,5 Inclusive/exclusive,3 Three-way contrast,2 Different stem,"2 3rd person only, but also non-singular",1 No politeness distinction,1 Identical,4 Pronouns and nouns,1 Case suffixes,,,,2 Absent,1 No possessive classification,,,2 No grammatical marking,4 No past tense,1 Inflectional future exists,4 No perfect,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,3 No overlap,1 No grammatical evidentials,4 None,5
Laz,41.5,41.5,Kartvelian,,,,,,,,,,,,,"5 All nouns, optional in inanimates",,,,,,,,,,2 Differentiation,,,,,,,,,,,,1 Second singular and second plural,4 Neither type of system,,,3 Direct and indirect,,35
Lunda,-10.66666667,24,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,2 Case prefixes,,,,,,,,,,,,4 Mixed type,,,,,,,38
Lachi,22.66666667,104.8333333,Tai-Kadai,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,3 Obligatory,,,,,,,,,,,,,,,,38
Lesser Antillean French Creole,15,-61.16666667,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Luganda,0.5,32.16666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,7 Prepositional clitics,,,1 Absent,2 Absent,2 Two classes,,2 'And' identical to 'with',2 No grammatical marking,"2 Present, 2-3 remoteness distinctions",1 Inflectional future exists,3 Other perfect,1 Tense-aspect prefixes,,,,,,,30
Ladin,46.58333333,11.91666667,Indo-European,,,,,,,,,,,,,,,,,,,,,,,1 Identity,,,,,,,,,,,,,,,,,,39
Londo,5,9.166666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Mixed type,,,,,,,39
Lendu,2,30.5,Central Sudanic,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Lebeo,1.75,25,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Leko,-15,-67.91666667,Leko,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Lega,-2.833333333,27.16666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Mixed type,,,,,3 Direct and indirect,,38
Lele,9.083333333,15.58333333,Afro-Asiatic,,,,,,,,,,,,2 Two,"3 Only human nouns, obligatory",,,,,1 In 3rd person + 1st and/or 2nd person,,,2 No person marking,9 No case affixes or adpositional clitics,,,,,,,,,,,,4 Mixed type,,,,,,,34
Lenakel,-19.45,169.25,Austronesian,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,38
Lepcha,27.16666667,88.5,Sino-Tibetan,,,,,,,,,,4 No syncretism,1 No subject person/number marking,1 None,"6 All nouns, always obligatory",3 No inclusive/exclusive,1 No person marking,,,6 No gender distinctions,,,2 No person marking,9 No case affixes or adpositional clitics,,,,,,,1 'And' different from 'with',,,,,2 Tense-aspect suffixes,4 Second person number-neutral,1 Maximal system,2 Inflectional optative absent,3 No overlap,1 No grammatical evidentials,,24
Lese,2,29,Central Sudanic,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,38
Leti,-8.2,127.6666667,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,1 Absent,,,,,,,,,,,,,,,,39
Lewo,-16.75,168.3333333,Austronesian,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,38
Lezgian,41.66666667,47.83333333,Nakh-Daghestanian,1 Exclusively concatenative,1 Monoexponential case,1 monoexponential TAM,2 2-3 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Non-zero marking,3 No productive reduplication,3 Core and non-core,1 No subject person/number marking,1 None,"6 All nouns, always obligatory",3 No inclusive/exclusive,1 No person marking,3 Three-way contrast,3 Different inflection,6 No gender distinctions,1 No politeness distinction,1 Identical,2 No person marking,1 Case suffixes,2 Differentiation,2 Marked by reduplication,1 Absent,2 Absent,1 No possessive classification,4 Marked by suffix,1 'And' different from 'with',1 Grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,3 Other perfect,2 Tense-aspect suffixes,4 Second person number-neutral,4 Neither type of system,1 Inflectional optative present,3 No overlap,2 Indirect only,3 Tense and aspect,0
Luangiua,-5.333333333,159.4166667,Austronesian,,,,,,,,,,,,,,,,,,,,,,,1 Identity,,,,,,,,,,,,,,,,,,39
Low German,53,10,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Lughat al-Isharat al-Lubnaniya,34,35.83333333,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Langi,-4.5,36,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Língua Gestual Portuguesa,40,-8,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Logoti,3.5,30,Central Sudanic,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,,4 Second person number-neutral,1 Maximal system,,,,,37
Longgu,-9.75,160.6666667,Austronesian,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,5 No tense-aspect inflection,,,,,,,38
Laha,21.58333333,103.9166667,Tai-Kadai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Lhomi,27.66666667,87.41666667,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Hlai (Baoding),19,109.5,Tai-Kadai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Lingua Italiana dei Segni,42,13,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
